Charge,2017,2018,2019,2020,2021,2022,2023,Total Cases 2023,Median Days to Dispo 2023,Total Days Consumed - Cases Disposed 2023,Average Days to Dispo 2023
Driving without Insurance,39,35,38,62,52,44,49,17911,49,2293057,128.0251
DUI/DWAI,118,119,126,163,163,148,152,12875,152,3224225,250.4252
Caseless Driving,46,43,42,70,57,53,55,8345,55,955410,114.4889
Assault - 3,123,126,139,154,176,158,154,7589,154,1800840,237.2961
Other Vehicle/Traffic Offense,43,40,40,62,55,41,42,7448,42,674278,90.5314
Possession of a Controlled Substance,109,104,113,169,188,158,129,6753,129,1597207,236.5181
Driving Under Restraint/Revoked License,94,91,106,127,120,231,542.5,6604,542.5,4238470,641.8035
Violation of Order of Protection/Restraining Order,83,84,88,118,140,122,112,5875,112,1193560,203.1591
Assault - 2,167,175,181.5,204,217,205,197,3787,197,1031777,272.4523
Harassment,83,93,94,122,137,111,119,3593,119,697228,194.0518
Motor Vehicle Theft/Chop Shop,128,127,141,167,185,171,172,3414,172,886512,259.6696
Theft,131,129,145,168,217,221,198,2902,198,1067703,367.9197
Menacing,137,143,154,174,183,171,168,2467,168,582322,236.0446
Burglary - 2,150,157,167,185,208,208,184,2082,184,561722,269.7992
Criminal Mischief,93,104,107,134,155,152,157,1914,157,532923,278.4342
ID Theft,153,146,155,207,247.5,238,210,1660,210,581947,350.5705
Possession with Intent to Distribute a Controlled Substance,171,182,188.5,238,249,251,219,1523,219,498763,327.4872
Trespass,106,103,131,128,165,191.5,151,1484,151,438564,295.5283
Child Abuse,138.5,137,138,181,197,180.5,175,1245,175,364518,292.7855
Other Offense,77,65,64,78,87,87,60,1121,60,240172,214.248
Obstructing an Officer/Firefighter/Gov Official,84,84,92,130,148,133,113,1093,113,233393,213.5343
Reckless Driving,61,57,57,87,66,58,58,903,58,99768,110.485
Driver's License Violation,52,48,53,70,56,96,381,895,381,553560,618.5028
Eluding,139,139,152,189,195,214,170,847,170,233333,275.4817
Prohibited Use of a Weapon,99,87,108,133,136,126,131,731,131,139182,190.3995
Escape/Aiding Escape,100,91.5,94.5,137,138,144.5,129,698,129,142593,204.288
Introduction/Possession of Contraband in a Detention Facility,104,105,104,165,189,162,126,599,126,136115,227.2371
Drug Offense - Special Offender,206,202,200.5,247.5,282,283,255,568,255,184871,325.4771
False Report/Emergency,89,83,105,128,135,127,121,565,121,163364,289.1398
Sex Offender Registration Violation,139,150,154,198,212.5,202,195,546,195,195772,358.5568
Resisting Arrest,88.5,87,98,138,143,143,125,517,125,125619,242.9768
Fraud,86,98,86,164,182,192.5,159,465,159,169391,364.2817
Leaving the Scene of an Accident,75,57,68,96,73,78,76,452,76,74644,165.1416
Robbery - Aggravated,214,205,203,240,244,241,219,450,219,131114,291.3644
Assault - 1,244,251,267,261,299,285.5,287.5,418,287.5,161224,385.7033
Possession of a Weapon by Convicted Felon,133,144,162.5,169,178,223.5,207.5,416,207.5,128268,308.3365
Sexual Assault-Child,307,226.5,315,325,392,373,428,402,428,212874,529.5373
Distribution of a Controlled Substance,185,190,193,256.5,253,259.5,243,394,243,133993,340.0838
Forgery,160,176,184,251.5,326.5,233,231,387,231,156512,404.4238
Hunting/Wildlife Violation,42,46,55,52,54,47.5,42,375,42,87302,232.8053
Alcohol Offense,75,64,60,97.5,60,43.5,41,374,41,40626,108.6257
Robbery,161,161,175,189,206,190.5,195,359,195,94589,263.4791
Homicide - Murder 1 Attempt/Cons/Sol,326.5,308,300,347,359.5,398,330,357,330,150050,420.3081
Cruelty to Animals/Dangerous Animals,82,100,111,126.5,140.5,139.5,114.5,356,114.5,74487,209.2331
Stalking,196.5,239,194,209,223,231,217.5,320,217.5,88737,277.3031
Reckless Endangerment,97.5,137,105,121.5,132,123,144.5,318,144.5,64950,204.2453
Burglary - 1,200,207.5,220.5,243.5,244.5,229,227,292,227,93461,320.0719
Property Offense Other,87,84,85,106.5,133,112,97,289,97,50859,175.9827
Sexual Assault,318,307,287.5,330,356,342,372,258,372,132886,515.062
Carrying a Concealed Weapon,114.5,97,105,132,135,121,130,239,130,44886,187.8075
Possession of a Dangerous Weapon,92.5,110,142,139,168,149.5,137,230,137,57950,251.9565
Sexual Exploitation of a Child,248,189,244,253,254.5,301,292,213,292,79935,375.2817
Kidnapping 2,222.5,224,234,243.5,270,266,240.5,212,240.5,63839,301.1274
Homicide - Murder 1,477,469,547,466,587,571,520,196,520,125411,639.852
Sexual Contact,215,248,265.5,280,325,251.5,280,194,280,75928,391.3814
Assault - Vehicular,199,219.5,220.5,254.5,248.5,255,244,194,244,56144,289.4021
Bribery,132,124,149,210,211,274,286,189,286,101214,535.5238
Indecent Exposure,180,197,218,237.5,268,241.5,249.5,182,249.5,64338,353.5055
Arson,118,145,172,179,205,272,206.5,172,206.5,61227,355.9709
Weapon Offense Other,133,155,125.5,186,159,105.5,151.5,144,151.5,28141,195.4236
False Imprisonment,97,98,107,124,148.5,168,105,143,105,34932,244.2797
Domestic Violence,176,143.5,144.5,168,185,162,160,141,160,38674,274.2837
Witness or Victim Bribing/Tampering,165,179.5,176,185,211,199,191.5,134,191.5,38785,289.4403
Drug Offense Other,125,115.5,120,164,190,172,139,133,139,48246,362.7519
Possession of Burglary Tools,119,108,131.5,182.5,189.5,247,265,130,265,49580,381.3846
Ordinance - County,27,40.5,51,90,63,66,62,120,62,12827,106.8917
Gaming/Gambling,41.5,39,50.5,75,62.5,77.5,123,115,123,30339,263.8174
Contributing to the Delinquency of a Minor,161,158,176,209,244,184,129,113,129,31103,275.2478
Possession of a Handgun by a Juvenile,96,103,110,127,111,108,139.5,110,139.5,19823,180.2091
Possession with Intent to Distribute Marijuana,202,197.5,202,271,254,220.5,350,106,350,54591,515.0094
Possession of Marijuana,82,84,78,123,100,114,121.5,86,121.5,14930,173.6047
Racketeering,237.5,313,481.5,409.5,418,388.5,427,79,427,40958,518.4557
Possession of a Weapon on School Grounds,91.5,119,135,134,106.5,141,135,74,135,12476,168.5946
Disorderly Conduct,72,65,74.5,105.5,101,140,228.5,72,228.5,32661,453.625
Homicide - Vehicular,282.5,263,282,281,362,307.5,349.5,68,349.5,28036,412.2941
Violation of Bail Bond,111,104,114,179,209,268,540.5,60,540.5,44052,734.2
Homicide - Murder 2 Attempt/Cons/Sol,291,293,330,280,290,358,281.5,60,281.5,24941,415.6833
Tampering with Evidence,113,238,125,220,193,201.5,161.5,60,161.5,15888,264.8
Burglary - 3,142.5,161,132,209,240.5,244,225,56,225,23864,426.1429
Accessory to a Crime,203.5,148,172,190,249,230,289.5,54,289.5,23368,432.7407
Possession of a Weapon by Juvenile Offender,138.5,153,156,167,197,221,199,51,199,14924,292.6275
Posting Private Image,140,135,137.5,164,197,203,133,51,133,11266,220.902
Distribution of Marijuana,128.5,162.5,184,198.5,294,193,225,47,225,18660,397.0213
Illegal Discharge of a Firearm,127.5,111,183,168,210,132,140,45,140,10408,231.2889
Bias Motivated Crime,175,139,134,148,221,202,167,40,167,12853,321.325
