JD,2017,2018,2019,2020,2021,2022,2023,2017 hearings,2018 hearings,2019 hearings,2020 hearings,2021 hearings,2022 hearings,2023 hearings,Change in Average Number of Hearings per Case,Felony Cases 2023
JD 01,132,122,130,171,197,176.5,180,5.5722,6.3377,6.3872,7.1845,8.192,7.7669,7.8835,2.3113,3223
JD 02,182,161,165,214,237,229,195,8.6753,8.4649,8.6279,9.5839,10.5266,10.3598,9.8817,1.2064,5271
JD 03,162,134,190,193.5,166.5,181,212,7.1304,7.3983,7.6431,8.78,9.0482,9.4217,9.1038,1.9734,213
JD 05,118,132.5,145,202,201.5,182,210,6.5565,7.1691,7.4571,8.7319,8.3651,7.9711,8.2648,1.7083,686
JD 06,135,116,135,146,150,157,136,8.5986,7.3833,8.0678,8.2991,8.625,8.4674,8.1963,-0.4023,439
JD 07,147,148,155,224,251,223.5,229,7.5912,8.0117,8.3153,9.8251,10.9312,10.9713,10.9264,3.3352,603
JD 08,95,104,108,145,173,166,155,7.3075,7.643,7.723,8.5104,9.7624,9.3634,8.8903,1.5828,2017
JD 09,0,160,169,232,249,288,246,10.8647,8.9359,9.0313,10.3109,11.1792,12.3149,11.6022,0.7375,467
JD 10,127,125,124,166,168,148,146.5,7.9301,7.879,8.1904,8.9608,9.7823,9.6252,8.9568,1.0267,1434
JD 11,97,99,104.5,127,175,174,153.5,6.6663,6.4506,6.9312,7.532,9.5188,8.85,8.9748,2.3085,598
JD 12,217,302,282,239.5,182,196,227,8.502,9.2427,10.3077,10.5412,9.4029,9.7182,9.836,1.334,317
JD 13,163,191,211,244,286,272,248.5,6.7558,6.9685,7.5058,7.7685,8.3535,8.7256,8.9802,2.2244,660
JD 17,142,146,164,242,278,270,225,6.2735,6.2462,6.7328,7.7904,8.6912,8.7795,8.2789,2.0054,4085
JD 18,184,191,196,239,290,279,269,7.8841,8.0889,8.363,9.1336,10.2795,9.9414,9.5763,1.6922,4019
JD 19,145,156,169,214,229.5,268,264,7.6801,7.9337,8.2619,9.2279,9.9413,10.4366,10.239,2.5589,1958
JD 20,151,160,178,213.5,200,189.5,184,5.5978,5.804,6.0121,6.9637,8.0418,7.9709,7.6463,2.0485,1702
JD 21,154,166,160,216,231,219.5,213,8.656,8.9584,8.9507,9.8543,10.9162,10.9017,11.0156,2.3596,1487
JD 22,132,128,141.5,149.5,169,184,131.5,8.3895,7.8836,8.7975,8.2143,8.6078,8.9645,7.4333,-0.9562,150
