JD,Change in Number of Hearings per Case,Change in Time Between Hearings
JD 01,1,-1
JD 02,1,-1
JD 03,1,1
JD 05,1,1
JD 06,-1,1
JD 07,1,-1
JD 08,1,1
JD 09,1,1
JD 10,1,-1
JD 11,1,1
JD 12,1,-1
JD 13,1,1
JD 17,1,1
JD 18,1,1
JD 19,1,1
JD 20,1,1
JD 21,1,1
JD 22,-1,1
"Boone County, IL",1,1
"Carroll County, IL",1,1
"Edwards County, IL",1,1
"Ford County, IL",1,1
"Franklin County, IL",1,1
"Fulton County, IL",1,1
"Hancock County, IL",1,1
"Henderson County, IL",1,1
"Jefferson County, IL",1,1
"Jo Daviess County, IL",-1,1
"Knox County, IL",1,1
"Lawrence County, IL",-1,1
"Livingston County, IL",1,1
"Logan County, IL",1,1
"McDonough County, IL",1,1
"Ogle County, IL",1,1
"Richland County, IL",1,1
"Stephenson County, IL",1,1
"Warren County, IL",1,1
"Wayne County, IL",1,1
"White County, IL",-1,1
Adams,1,1
Ashland,1,1
Barron,1,1
Bayfield,1,1
Brown,1,1
Buffalo,1,1
Burnett,1,1
Calumet,1,1
Chippewa,1,1
Clark,1,1
Columbia,1,1
Crawford,1,1
Dane,1,1
Dodge,1,1
Door,1,1
Douglas,1,1
Dunn,1,1
Eau Claire,1,1
Florence,1,1
Fond du Lac,1,1
Forest,1,1
Grant,1,1
Green,1,1
Green Lake,1,1
Iowa,1,1
Iron,1,1
Jackson,1,1
Jefferson,1,1
Juneau,1,1
Kenosha,1,1
Kewaunee,1,1
La Crosse,1,1
Lafayette,1,1
Langlade,1,1
Lincoln,1,1
Manitowoc,1,1
Marathon,1,1
Marinette,1,1
Marquette,1,1
Milwaukee,1,1
Monroe,1,1
Oconto,1,1
Oneida,1,1
Outagamie,1,1
Ozaukee,1,1
Pepin,1,1
Pierce,1,1
Polk,1,1
Portage,1,1
Price,1,1
Racine,1,1
Richland,1,1
Rock,1,1
Rusk,1,1
St Croix,1,1
Sauk,1,1
Sawyer,1,1
Shawano,1,1
Sheboygan,1,1
Taylor,1,1
Trempealeau,1,1
Vernon,1,1
Vilas,1,1
Walworth,1,1
Washburn,1,1
Washington,1,1
Waukesha,1,1
Waupaca,1,1
Waushara,1,1
Winnebago,1,1
Wood,1,1
