County,Change in Average Days Between Hearings,Change in Average Number of Hearings per Case,Change in Median Days to Disposition,Cases 2024
Adams,7.289999999999999,10.23,57.5,394
Ashland,6.899999999999999,18.47,68,414
Barron,5.15,11.73,62,754
Bayfield,6.18,20.830000000000005,3,154
Brown,5.98,21.339999999999996,100,4368
Buffalo,11.669999999999998,13.44,75,366
Burnett,5.289999999999999,14.180000000000001,-47.5,533
Calumet,2.8200000000000003,15.56,72,664
Chippewa,12.36,12.290000000000001,125.5,1311
Clark,11.66,12.200000000000001,132,452
Columbia,11.02,13.099999999999998,102,1645
Crawford,4.800000000000001,7.969999999999999,86.5,273
Dane,10.030000000000001,14.829999999999998,102,7949
Dodge,9.11,12.090000000000002,22.5,1211
Door,6.0699999999999985,21.97,111,429
Douglas,13.73,6.529999999999999,5,1077
Dunn,7.259999999999998,14.489999999999998,102,1458
Eau Claire,11.66,10.899999999999999,89,3166
Florence,5.080000000000002,8.9,74,95
Fond du Lac,9.49,15.450000000000001,166,2332
Forest,19.03,11.3,227,521
Grant,6.6899999999999995,4.720000000000001,15,677
Green,7.84,15.079999999999998,16.5,586
Green Lake,5.619999999999999,17.020000000000003,94.5,603
Iowa,12.02,11.120000000000001,24,616
Iron,7.529999999999999,11.68,126.5,189
Jackson,0.6099999999999994,14.12,21.5,427
Jefferson,6.27,19.18,57,1900
Juneau,9.119999999999997,11.649999999999999,59,874
Kenosha,12.990000000000002,11.92,97,4413
Kewaunee,8.11,8.389999999999999,49,324
La Crosse,8.95,19.59,123.5,2580
Lafayette,12.44,10.25,75.5,271
Langlade,15.780000000000001,17.35,293,331
Lincoln,9.730000000000002,16.82,127,792
Manitowoc,9.850000000000001,18.4,151.5,2061
Marathon,7.32,23.379999999999995,100,3240
Marinette,6.800000000000001,10.249999999999998,77,658
Marquette,5.999999999999998,9.83,-3.5,414
Milwaukee,8.09,20.94,126,9999
Monroe,5.619999999999999,22.49,176,1547
Oconto,6.800000000000001,13.930000000000001,60,506
Oneida,6.800000000000001,11.860000000000001,45,791
Outagamie,6.610000000000001,16.560000000000002,87,3471
Ozaukee,10.03,11.28,69,1268
Pepin,15.920000000000002,6.66,64.5,101
Pierce,10.680000000000001,10.57,-10,696
Polk,12.66,14.680000000000001,59.5,886
Portage,4.34,21.099999999999994,84.5,1328
Price,9.93,16.380000000000003,111.5,294
Racine,11.100000000000001,17.61,195,3884
Richland,9.93,11.32,29,473
Rock,8.36,17.82,74,3349
Rusk,4.779999999999998,20.410000000000004,136,462
St Croix,7.799999999999999,17.07,62,2043
Sauk,10.600000000000001,9.87,73,1782
Sawyer,7.609999999999999,20.58,236,720
Shawano,13.41,23.43,321.5,916
Sheboygan,6.24,22.119999999999997,143,1778
Taylor,9.33,18.07,20,266
Trempealeau,7.58,10.819999999999999,95.5,489
Vernon,10.140000000000002,10.76,166,277
Vilas,14.549999999999999,14.410000000000002,214,626
Walworth,8.02,13.819999999999999,82.5,2012
Washburn,15.75,10.969999999999999,196.5,293
Washington,12.34,6.040000000000001,60,1810
Waukesha,9.45,11.84,28,5598
Waupaca,7.880000000000001,9.389999999999999,91.5,1027
Waushara,7.510000000000002,9.120000000000001,74.5,607
Winnebago,6.8199999999999985,11.17,49,2882
Wood,10.81,6.9399999999999995,21,1812
JD 01,-3.86,2.3113,48,3223
JD 02,-0.49,1.2064,13,5271
JD 03,3.31,1.9734,50,213
JD 05,4.01,1.7083,92,686
JD 06,2.32,-0.4023,1,439
JD 07,-1.81,3.3352,82,603
JD 08,4.28,1.5828,60,2017
JD 09,1.45,0.7375,86,467
JD 10,-1.79,1.0267,19.5,1434
JD 11,2.83,2.3085,56.5,598
JD 12,-0.6,1.334,10,317
JD 13,1.61,2.2244,85.5,660
JD 17,2.39,2.0054,83,4085
JD 18,1.68,1.6922,85,4019
JD 19,6.31,2.5589,119,1958
JD 20,2.88,2.0485,33,1702
JD 21,1.68,2.3596,59,1487
JD 22,3.02,-0.9562,-0.5,150
"Boone County, IL",1.66,1.79,76,297
"Carroll County, IL",2.72,2.14,78,70
"Edwards County, IL",0.43,3.02,49.5,46
"Ford County, IL",8.24,1.12,108,91
"Franklin County, IL",3.33,9.19,195,437
"Fulton County, IL",0.03,9.56,219.5,284
"Hancock County, IL",3.48,3.23,97,60
"Henderson County, IL",6.13,3.24,171.5,42
"Jefferson County, IL",6.67,2.59,103.5,454
"Jo Daviess County, IL",0.78,-3.6,44.5,74
"Knox County, IL",4.94,1.3,68.5,527
"Lawrence County, IL",2.21,-3.88,15,139
"Livingston County, IL",5.8,4.96,127,393
"Logan County, IL",10,7.57,200,238
"McDonough County, IL",4.99,5.27,123,159
"Ogle County, IL",3.39,2.21,38.5,286
"Richland County, IL",7.96,4,123,249
"Stephenson County, IL",5.05,6.58,104,349
"Warren County, IL",3.01,6.52,90.5,133
"Wayne County, IL",8.57,5.48,164,191
"White County, IL",5.71,-0.51,9,159
