Charge,2019,2020,2021,2022,2023,2024,Total Cases Disposed 2024,Median Days to Dispo 2024,Total Days Consumed - Cases Disposed 2024,Average Days to Dispo 2024
Driving without Insurance,35,60,42,36,44,44,13588,44,1433919,105.5283
DUI/DWAI,119,152,153,133,138,139,5987,139,1281823,214.1011
Possession of a Controlled Substance,124,182,190,145,123,143,3945,143,957304,242.6626
Assault - 3,130,147,162,144,136,153,3064,153,706472,230.5718
Theft,116,149,210,183,163,152,1966,152,579120,294.5677
Assault - 2,175,196,209,196.5,195,192,1865,192,505419,271.0021
Violation of Order of Protection/Restraining Order,83,109,131,113,112.5,112,2589,112,473513,182.8942
Caseless Driving,48,75,61,50,52,58,4300,58,449364,104.5033
Motor Vehicle Theft/Chop Shop,144,177.5,177,174,162,163,1426,163,376254,263.8527
Other Vehicle/Traffic Offense,39,55,45,32,39,38,4780,38,357315,74.7521
Harassment,84,111.5,120,99,105,110,1631,110,299245,183.4733
Trespass,99,118,152,140.5,127,109,1207,109,276853,229.3728
Menacing,148,174,178,154,159,164,1157,164,264490,228.5998
Burglary - 2,164,181,216,210,179,168.5,1040,168.5,257007,247.1221
Possession with Intent to Distribute a Controlled Substance,191.5,246,248,240.5,211,232.5,704,232.5,252672,358.9091
Criminal Mischief,100,120,145.5,126,116,132,1071,132,228349,213.211
ID Theft,152,193,223,242,204,168,700,168,210412,300.5886
Driver's License Violation,41,64,44,68,263,99.5,422,99.5,163582,387.6351
Other Offense,54.5,65,53,64,61,54,874,54,157648,180.3753
Child Abuse,139,169,184,160,154,161,567,161,133977,236.291
Homicide - Murder 1 Attempt/Cons/Sol,265.5,348,317,376,346.5,371.5,234,371.5,107030,457.3932
Drug Offense - Special Offender,206,249,272,302,259,273,276,273,103383,374.5761
Sex Offender Registration Violation,154,187,195,193.5,178,160.5,348,160.5,100979,290.1695
Obstructing an Officer/Firefighter/Gov Official,96,127,134,134.5,118,115,509,115,93834,184.3497
Escape/Aiding Escape,83,137.5,159,147,128.5,126.5,374,126.5,87952,235.1658
Alcohol Offense,63,89,71,70,56.5,62,688,62,84270,122.4855
Sexual Assault-Child,306,340,366.5,366,420,386.5,158,386.5,83461,528.2342
Assault - 1,258,257,291.5,269,287,248.5,238,248.5,81848,343.8992
Eluding,140,167,168.5,187.5,153,152,337,152,79059,234.5964
Fraud,89.5,176,179,172,152,192,197,192,75843,384.9898
Possession/Sale of Drug Paraphernalia,48,69,75.5,72,71,57,492,57,74646,151.7195
Robbery - Aggravated,218,259,248.5,247,224,235,225,235,68370,303.8667
False Report/Emergency,125,132,140,126,117.5,120,292,120,67328,230.5753
Homicide - Murder 1,529,472,548,635.5,539,501,107,501,62939,588.215
Resisting Arrest,105,128.5,145,134,118.5,109,290,109,60828,209.7517
Prohibited Use of a Weapon,106,131,118,114.5,125.5,144.5,314,144.5,60440,192.4841
Forgery,187,226,346,244,239,175,153,175,57779,377.6405
Distribution of a Controlled Substance,179,244,242,244,216.5,178,187,178,56626,302.8128
Hunting/Wildlife Violation,55.5,57.5,51,36,41.5,46,275,46,52946,192.5309
