Charge,2019,2020,2021,2022,2023,Total Cases 2023,Average Days to Dispo 2023,Median Days to Dispo 2023
Domestic battery/aggravated domestic battery,14,39,33,30,27,8899,112.917,27
Battery/aggravated battery,36,124,188,166,137,6240,232.7878,137
Driving on a suspended license,47,123,161.5,156,120,5455,216.8671,120
Vehicle-related offense - other,35,66,76,55.5,55,4670,115.9173,55
Possession of cannabis/controlled substance,31,28,60,78,72,4606,185.271,72
Retail theft,34,89,96,83,65,4546,140.0627,65
Aggravated unlawful use of a weapon,118,190,224,255,206,3845,284.5633,206
Criminal damage to property/institutional vandalism,27,81,92,90.5,89,2754,182.7545,89
Criminal trespass to a residence/property,29,90,74,72.5,63,2713,140.7125,63
Manufacture/delivery of cannabis/controlled substance,43,56,185,223,178,2700,282.2507,178
DUI,108,226,258,269,224,2616,338.2389,224
Assault/aggravated assault,25,74,86,68,54,2560,134.1578,54
Obstructing justice/resisting or obstructing peace officer,37,123,209,187,136.5,2546,250.4438,136.5
Theft,37,109,149,128.5,87,2426,189.735,87
Violation of order of protection/no stalking,18,71,92,78,72,1697,154.1467,72
Unlawful use of a weapon by a felon,106,217,393,389,343,1279,415.717,343
Armed habitual criminal,128.5,283,382,420,412,1131,487.8187,412
Vehicular invasion/trespass to vehicle,28,94,102,68,53,1113,142.2633,53
Public order offense - other,27,80,105,96,77,1103,170.0716,77
Weapons offense - other,51,150.5,245,222.5,196,1027,263.8832,196
Possession of stolen motor vehicle,80,182,247.5,271,232.5,840,319.8024,232.5
Driving without a license,39.5,78,95,91,69,833,137.7851,69
Burglary,84,187,304.5,307,273,814,370.9558,273
Disorderly conduct,35,112,123.5,106,119,698,194.9355,119
Fleeing or eluding police,88,188,290,220,195,601,299.2662,195
Unlawful use of a weapon,45,122,241,197,179,601,235.5324,179
"Murder - attempt, conspiracy, solicitation",114,315,647,700,793,481,812.6819,793
Offenses harming children,81,191,271,242.5,231,465,316.8065,231
Sex offense - other,41.5,142,195,202.5,182,423,297.2246,182
Battery/assault/neglect - other,35.5,98.5,188,89.5,73,418,171.4378,73
"Failure to register as arsonist, sex offender, child murder",41.5,143,227.5,145,117,409,196.6993,117
Unlawful possession/purchase of firearms and firearms ammunition,36,135,194,223.5,243,381,295.105,243
Drug offense - other,28,78,115.5,136.5,80,342,187.5117,80
Armed robbery,162,312,496,551.5,411.5,328,536.7409,411.5
Residential burglary,98,264.5,402,332,296,319,383.4514,296
Unlawful/aggravated/reckless discharge of firearm,149.5,272,317,357,342,296,409.6014,342
Robbery/aggravated robbery,97,211,399,364,308,269,413.8736,308
Escape/aiding escape,40,103,217.5,278,166,252,289.9921,166
Sex offenses involving children,96,296.5,491,537,653,227,638.5815,653
Identity theft,91,267,366,349.5,274,220,405.9955,274
Perjury/communicating or harassing witnesses/contempt,38,137.5,141.5,139.5,154,197,230.6294,154
Forgery,70,233,316.5,294,193,187,316.4759,193
Armed violence,122.5,273.5,355.5,436.5,380,180,482.5611,380
Fraud - other,75,201,343,353,218.5,178,330.4944,218.5
Mob action,22.5,89,88,21,24,169,258.7574,24
Criminal sexual assault/aggravated criminal sexual assault,148.5,274,428,559.5,681,150,712.9,681
Criminal sexual abuse/aggravated criminal sexual abuse,98,241,399.5,478,487.5,128,563.8047,487.5
Delivery of cannabis/controlled substance to person under 18,27,28,67,58,59,126,172.2857,59
Aggravated battery with a firearm,92.5,282.5,326.5,323.5,273,116,384.4828,273
Fraud - Credit card,78,242,293,174,242,87,341.9425,242
Arson/possession of explosives,147.5,169,349,365,307,84,366.7381,307
Kidnapping/aggravated kidnapping,153,385,465,621,706,83,736.3494,706
Unlawful use of or possession of fraudulent ID,57,190,273.5,191.5,105,81,213.9877,105
Vehicular hijacking with a firearm,,50,377,449,527,81,516.9136,527
Child pornography,162,277,405.5,422.5,292.5,68,404.2353,292.5
Vehicular hijacking/aggravated vehicular hijacking,163,336,559,419.5,596.5,64,655.0938,596.5
Bringing contraband in a penal institution,38,161,207,234,275,60,384.0333,275
Home invasion with a firearm,175,154,391,469,534,55,592.3091,534
Home invasion,85.5,337,400,287,369.5,36,439.5556,369.5
Intimidation/threats,119,213,247,234,261,35,355.7714,261
Driving without insurance,40,89,72,168.5,94,30,162.1,94
Murder - first degree,24.5,11,258,189,275,30,440.8,275
Stalking/aggravated stalking/cyberstalking,105,229.5,272,226,145.5,26,245.4231,145.5
Unlawful restraint/forcible detention,70,196.5,239,270.5,86,23,229,86
Murder - second degree/involuntary mansl/reckless homicide/drug,172.5,272,463.5,473,524,19,614.7368,524
Prostitution-related offenses,37,211,233.5,337,125,19,343.8421,125
