,2019,2020,2021,2022,2023,2024,Total Cases Disposed 2024,Median Days to Dispo 2024,Total Days Consumed - Cases Disposed 2024,Average Days to Dispo 2024
Aggravated battery with a firearm,205.0000,223.0000,333.0000,324.0000,295.0000,293.5000,136,293.5000,50888,374.1765
Aggravated unlawful use of a weapon,241.0000,303.0000,344.0000,313.0000,282.0000,236.0000,2940,236.0000,950517,323.3051
Armed habitual criminal,401.0000,499.0000,568.0000,494.5000,460.0000,449.0000,801,449.0000,417959,521.7965
Armed robbery,402.5000,571.5000,760.0000,682.0000,416.5000,396.0000,122,396.0000,58427,478.9098
Armed robbery with a firearm,322.0000,329.0000,465.0000,661.5000,519.0000,445.0000,159,445.0000,80501,506.2956
Armed violence,338.0000,432.0000,444.0000,494.0000,408.0000,349.0000,139,349.0000,61288,440.9209
Arson/possession of explosives,356.0000,289.0000,452.0000,390.0000,375.0000,381.0000,78,381.0000,33026,423.4103
Assault/aggravated assault,36.0000,82.0000,93.0000,69.0000,55.0000,55.0000,1896,55.0000,249532,131.6097
Battery/aggravated battery,53.0000,137.0000,214.0000,174.0000,139.0000,127.0000,5099,127.0000,1104569,216.6246
Battery/assault/neglect - other,40.0000,95.0000,186.0000,65.0000,53.0000,48.5000,342,48.5000,46651,136.4064
Bribery/official misconduct/money laundering/racketeering,455.0000,329.0000,608.0000,552.0000,333.0000,475.0000,4,475.0000,2043,510.7500
Bringing contraband in a penal institution,210.5000,188.5000,315.5000,268.0000,317.0000,166.5000,36,166.5000,9784,271.7778
Burglary,206.0000,265.5000,387.0000,378.0000,302.0000,293.0000,560,293.0000,209902,374.8250
Cannabis/controlled substance trafficking or drug conspiracy,231.0000,401.0000,321.0000,530.0000,255.0000,328.0000,13,328.0000,5806,446.6154
Child pornography,384.0000,320.0000,474.0000,433.0000,354.5000,350.0000,88,350.0000,36087,410.0795
Criminal damage to property/institutional vandalism,41.0000,97.0000,94.0000,91.0000,88.0000,83.0000,1617,83.0000,289920,179.2950
Criminal sexual abuse/aggravated criminal sexual abuse,272.0000,323.0000,562.0000,519.0000,476.0000,452.0000,106,452.0000,59661,562.8396
Criminal sexual assault/aggravated criminal sexual assault,505.0000,488.0000,692.0000,651.5000,733.5000,589.0000,131,589.0000,88326,674.2443
Criminal trespass to a residence/property,37.0000,76.0000,61.0000,57.0000,50.0000,50.0000,2003,50.0000,241902,120.7698
Delivery of cannabis/controlled substance to person under 18,533.0000,307.0000,487.5000,279.5000,246.0000,309.0000,39,309.0000,14090,361.2821
Disorderly conduct,53.0000,106.5000,123.0000,105.0000,120.5000,136.0000,286,136.0000,59396,207.6783
Domestic battery/aggravated domestic battery,17.0000,39.0000,30.0000,27.0000,25.0000,36.0000,5790,36.0000,584408,100.9340
Driving on a suspended license,139.5000,216.0000,293.0000,172.0000,85.5000,63.0000,1097,63.0000,174494,159.0647
Driving without a license,33.0000,54.0000,65.0000,61.5000,46.0000,29.0000,13,29.0000,784,60.3077
Driving without insurance,123.0000,116.0000,123.0000,263.0000,60.0000,33.0000,11,33.0000,1026,93.2727
Drug offense - other,50.0000,93.0000,147.5000,83.0000,64.5000,56.0000,138,56.0000,19878,144.0435
DUI,290.0000,389.0000,476.0000,437.0000,351.5000,305.0000,859,305.0000,366312,426.4400
Escape/aiding escape,86.0000,135.0000,278.5000,351.0000,283.5000,205.5000,66,205.5000,23472,355.6364
Failing to report a death,149.0000,274.5000,424.0000,393.0000,1350.0000,925.0000,1,925.0000,925,925.0000
"Failure to register as arsonist, sex offender, child murder",121.0000,182.0000,244.0000,214.0000,134.0000,132.0000,218,132.0000,48314,221.6239
Fleeing or eluding police,211.0000,289.5000,341.5000,283.0000,249.5000,250.0000,450,250.0000,147220,327.1556
Forgery,180.5000,259.5000,430.0000,402.0000,243.0000,316.5000,110,316.5000,40094,364.4909
Fraud - Credit card,239.0000,232.0000,470.5000,204.5000,253.0000,270.5000,48,270.5000,19524,406.7500
Fraud - other,258.0000,336.5000,413.0000,428.0000,300.0000,373.0000,140,373.0000,63752,455.3714
Gunrunning/unlawful sale or delivery of firearms,180.0000,302.0000,534.0000,463.0000,466.0000,532.0000,5,532.0000,3647,729.4000
Hate crime,606.0000,239.0000,373.0000,354.0000,373.0000,149.0000,6,149.0000,2568,428.0000
Home invasion,318.0000,378.0000,681.0000,459.0000,443.0000,105.0000,19,105.0000,4528,238.3158
Home invasion with a firearm,373.0000,267.0000,415.0000,487.0000,578.0000,513.5000,60,513.5000,35360,589.3333
Identity theft,247.0000,362.0000,472.5000,539.0000,340.0000,292.0000,170,292.0000,66716,392.4471
Intimidation/threats,290.0000,295.5000,306.0000,232.0000,308.5000,296.0000,33,296.0000,10210,309.3939
Kidnapping/aggravated kidnapping,497.5000,698.0000,762.0000,876.5000,811.0000,528.0000,74,528.0000,49757,672.3919
Manufacture/delivery of cannabis/controlled substance,228.0000,299.5000,417.0000,371.0000,311.0000,294.0000,1132,294.0000,451258,398.6378
Mob action,39.0000,86.0000,71.5000,21.0000,30.0000,104.0000,35,104.0000,6798,194.2286
"Murder - attempt, conspiracy, solicitation",617.0000,669.5000,869.0000,831.0000,787.5000,667.0000,267,667.0000,198129,742.0562
Murder - first degree,1008.0000,1118.0000,972.0000,1197.0000,1136.0000,1106.5000,212,1106.5000,229116,1080.7358
Murder - second degree/involuntary mansl/reckless homicide/drug,610.0000,525.0000,720.0000,541.0000,769.0000,688.0000,27,688.0000,20302,751.9259
Obstructing justice/resisting or obstructing peace officer,61.0000,131.0000,253.0000,233.5000,165.5000,131.0000,1478,131.0000,335946,227.2977
Offenses harming children,172.5000,234.0000,299.5000,280.0000,278.5000,250.0000,256,250.0000,85790,335.1172
Perjury/communicating or harassing witnesses/contempt,165.0000,155.5000,165.0000,110.5000,102.5000,48.0000,21,48.0000,3697,176.0476
Possession of cannabis/controlled substance,136.0000,210.5000,244.5000,217.0000,187.0000,182.0000,1857,182.0000,490286,264.0205
Possession of stolen motor vehicle,214.0000,279.0000,373.5000,348.0000,270.5000,274.0000,578,274.0000,194813,337.0467
Property Offense - Other,76.0000,124.0000,274.0000,137.0000,316.0000,157.0000,27,157.0000,6321,234.1111
Prostitution-related offenses,52.0000,211.0000,176.0000,226.5000,55.0000,216.0000,27,216.0000,9787,362.4815
Public order offense - other,41.0000,100.5000,209.0000,147.0000,77.0000,55.0000,1019,55.0000,96204,94.4102
Residential burglary,238.5000,346.0000,519.0000,401.0000,340.0000,298.0000,213,298.0000,84973,398.9343
Retail theft,44.0000,83.0000,90.0000,80.0000,59.0000,57.0000,4675,57.0000,591407,126.5042
Robbery/aggravated robbery,236.5000,280.0000,445.0000,423.5000,329.5000,298.0000,288,298.0000,115234,400.1181
Sex offense - other,84.0000,163.0000,239.0000,217.0000,96.0000,107.0000,239,107.0000,49893,208.7573
Sex offenses involving children,474.0000,533.0000,668.0000,699.0000,738.5000,483.0000,171,483.0000,115589,675.9591
Stalking/aggravated stalking/cyberstalking,110.5000,268.5000,260.5000,241.0000,138.0000,50.0000,13,50.0000,2548,196.0000
Stalking/harassment,102.0000,251.0000,210.5000,190.0000,177.0000,228.5000,132,228.5000,40878,309.6818
Theft,57.0000,136.0000,233.5000,182.0000,106.0000,121.0000,1423,121.0000,319849,224.7709
Unlawful possession of a firearm by a street gang member,425.0000,274.0000,1065.0000,436.0000,217.5000,282.0000,2,282.0000,564,282.0000
Unlawful possession of a weapon,218.0000,301.5000,382.0000,387.0000,317.0000,278.5000,986,278.5000,366347,371.5487
Unlawful possession of a weapon by a felon,339.5000,389.5000,534.0000,440.0000,373.0000,358.0000,375,358.0000,167657,447.0853
Unlawful possession/purchase of firearms and firearms ammunition,41.5000,68.5000,155.0000,238.0000,335.0000,284.0000,167,284.0000,56134,336.1317
Unlawful restraint/forcible detention,160.5000,185.0000,212.0000,295.0000,195.0000,120.0000,37,120.0000,7290,197.0270
Unlawful use of a weapon by a felon,159.0000,159.0000,282.0000,268.0000,250.0000,159.0000,106,159.0000,29765,280.8019
Unlawful use of or possession of fraudulent ID,176.5000,275.0000,346.0000,325.0000,200.0000,215.0000,79,215.0000,18056,228.5570
Unlawful/aggravated/reckless discharge of firearm,270.5000,361.0000,410.5000,420.0000,390.0000,312.0000,253,312.0000,102767,406.1937
Vehicle-related offense - other,55.0000,100.0000,101.0000,139.0000,92.5000,78.0000,753,78.0000,129046,171.3758
Vehicular hijacking with a firearm,542.0000,917.0000,914.0000,645.5000,557.0000,874.0000,7,874.0000,6631,947.2857
Vehicular hijacking/aggravated vehicular hijacking,384.5000,316.0000,502.0000,482.0000,567.0000,489.0000,111,489.0000,58964,531.2072
Vehicular invasion/trespass to vehicle,35.0000,94.0000,90.0000,56.0000,47.0000,43.0000,813,43.0000,87113,107.1501
Violation of order of protection/no stalking,26.0000,67.0000,77.0000,63.0000,56.0000,68.0000,1091,68.0000,137960,126.4528
Weapons offense - other,75.0000,141.0000,277.0000,220.5000,159.0000,159.0000,451,159.0000,100738,223.3659
