month,Illinois,Colorado,Wisconsin
Jan 2019,139.0000,88.0909,114.8768
Feb 2019,153.5238,81.5455,114.4929
Mar 2019,144.0476,91.0000,109.3239
Apr 2019,157.1905,111.7727,119.3732
May 2019,184.0238,115.2273,124.1714
Jun 2019,180.6667,85.3182,125.7324
Jul 2019,168.5238,100.9545,127.6458
Aug 2019,176.5476,104.3636,129.2465
Sep 2019,165.1190,120.7273,133.8286
Oct 2019,160.4524,95.6364,128.7500
Nov 2019,168.2381,100.5455,130.5714
Dec 2019,186.6905,102.8182,147.0929
Jan 2020,184.1190,101.5909,151.0634
Feb 2020,196.4286,90.9091,156.1197
Mar 2020,157.7857,93.4091,156.3028
Apr 2020,186.1071,195.6818,153.7761
May 2020,187.7353,136.6364,181.5797
Jun 2020,265.3333,121.1818,188.3028
Jul 2020,229.5476,132.7727,193.1831
Aug 2020,246.4524,120.3182,191.8611
Sep 2020,246.0500,113.2727,194.7571
Oct 2020,288.6905,119.3636,203.4444
Nov 2020,249.9250,106.7273,196.7929
Dec 2020,239.5714,99.0909,193.6761
Jan 2021,257.6500,107.7727,204.0775
Feb 2021,294.8095,103.1500,205.1831
Mar 2021,237.8333,108.3500,190.9085
Apr 2021,265.5238,125.1500,191.8028
May 2021,283.3810,115.2500,188.1389
Jun 2021,261.7381,118.7500,184.4155
Jul 2021,213.5952,125.6000,182.5000
Aug 2021,270.7000,109.8000,185.5986
Sep 2021,291.3810,109.4000,187.6761
Oct 2021,279.0714,102.2000,194.7778
Nov 2021,234.6000,99.7500,216.0493
Dec 2021,228.0476,109.5000,210.5417
Jan 2022,317.0714,114.6818,203.2606
Feb 2022,227.5000,118.1000,211.2917
Mar 2022,221.5952,103.5000,216.4648
Apr 2022,275.4524,102.9091,202.5139
May 2022,265.5714,101.3636,230.1901
Jun 2022,238.2143,100.2000,228.5423
Jul 2022,261.5714,113.0000,239.7222
Aug 2022,201.5714,122.6364,233.0915
Sep 2022,193.8571,101.8500,232.2465
Oct 2022,179.4286,89.7500,217.4931
Nov 2022,217.6429,92.1500,224.8403
Dec 2022,235.8571,93.3000,227.0556
Jan 2023,262.1667,102.0500,236.0069
Feb 2023,214.7250,100.2273,215.8944
Mar 2023,245.8095,100.1818,225.9028
Apr 2023,242.2381,95.3000,218.3750
May 2023,207.0238,111.5909,233.5694
Jun 2023,217.8684,91.6000,227.7708
Jul 2023,233.2857,87.0000,234.0915
Aug 2023,209.6190,92.7500,211.0069
Sep 2023,198.1500,117.8500,200.9014
Oct 2023,250.3571,88.5000,207.8239
Nov 2023,231.7857,85.9000,208.2222
Dec 2023,258.2857,84.9500,195.0208
Jan 2024,230.3333,87.6500,213.2708
Feb 2024,291.1190,87.0500,225.3056
Mar 2024,239.4524,80.3000,211.0563
Apr 2024,198.7143,96.1000,215.2042
May 2024,246.9048,81.7500,217.9296
Jun 2024,239.4524,82.9000,204.8264
Jul 2024,198.6429,91.3500,191.4930
Aug 2024,245.4762,80.6000,199.7083
Sep 2024,225.9286,75.8500,204.0000
Oct 2024,207.4048,82.6500,198.5139
Nov 2024,187.7143,73.8500,192.0282
Dec 2024,213.0476,77.7000,205.5278
