Charge,2019,2020,2021,2022,2023,2024,Total Cases 2024,Median Days to Dispo 2024,Total Days Consumed - Cases Disposed 2024,Average Days to Dispo 2024
OWI/PAC,182,243,256,293,279,279,7366,279,2795822,379.56
Operating While License Revoked,132,196,186,224,216,191,7784,191,2439937,313.46
Possession of Controlled Substance,144,202,231,270,249,246,6671,246,2317888,347.46
Battery,150,195,252,264,234,229,6709,229,2167457,323.07
Manuf/Deliver Controlled Substance,219,283,328,368,356,354,3444,354,1575103,457.35
Disorderly Conduct,118,153,192,198,173,170,5991,170,1536091,256.4
Operate without a License,90,149,135,128,118,98,6533,98,1372544,210.09
Resisting/Obstructing,123,176,214,215,205.5,201,3727,201,1125951,302.11
Retail Theft,145,202,286.5,267,225,228,3161,228,1047376,331.34
Criminal Damage to Property,137,176,223,253,234,225,2491,225,816638,327.84
Theft,164,225,314,308.5,282,256,1967,256,761983,387.38
Reckless Injury/Endangering Safety,199.5,229,308.5,340,330,319,1824,319,732055,401.35
Firearm Possession,194.5,255,321.5,351,342,360.5,1110,360.5,528034,475.71
Burglary,198,259,287,349.5,335.5,328.5,1072,328.5,481235,448.91
Conceal Carry Violation,166,193,174,213.5,222,211,1336,211,425877,318.77
Child Abuse/Neglect,192,258,287,304.5,293,290.5,1104,290.5,421231,381.55
Sexual Assault of a Child,259,376.5,394,454.5,503,504.5,714,504.5,417153,584.25
Licensing Offenses,109,162,176.5,164,152,147,1603,147,406184,253.39
Strangulation/Suffocation,175,216.5,296,312,260,288,951,288,355828,374.16
Possession of Drug Paraphernalia,114,159,180,188,183,168,1257,168,355493,282.81
Flee/Elude Police,181,229,271,286,285,269,911,269,332004,364.44
Identity Theft,206,266,344,346,354,305,659,305,282075,428.03
Hit and Run,152,196,216.5,242,206.5,206.5,890,206.5,279880,314.47
Sexual Assault,207,301,341.5,401,373,367,525,367,251430,478.91
Intimidate Victim/Witness,171,214.5,283.5,316,259,265,697,265,247437,355
Forgery,180,255.5,368,356,323.5,356,389,356,185892,477.87
Take and Drive Vehicle w/o Consent,176,202.5,247,314,299,263.5,460,263.5,169894,369.33
Possession of Child Pornography,244,306,396,451,417.5,408,297,408,157705,530.99
Interfere/Obstruct Emergency Persons,117,199,203,221,193.5,191,525,191,157341,299.7
Criminal Trespass,141,203,226,269,217,228,443,228,146664,331.07
Homicide,317,465,456,593,575,517,254,517,144057,567.15
Endanger Safety - Weapon,144.5,182,186,217,209,220.5,482,220.5,143078,296.84
Drive or Operate Vehicle w/o Consent,159,197,275,292.5,300,307.5,330,307.5,139704,423.35
Armed Robbery,230,339,375,441,409,364,285,364,135341,474.88
Sex Offender Registry Violation,173,233,341,310,262,306,322,306,125347,389.28
Stalking,187.5,206,276,278,312,299,333,299,117896,354.04
False Imprisonment,173.5,245,264.5,273.5,252,259,331,259,115709,349.57
Other Offense,124,154.5,135,186,133,175,396,175,110278,278.48
Weapon Possession Offenses,183,281.5,275.5,315,264,285,304,285,103998,342.1
Reckless Homicide,297,404,467.5,525,573,490,173,490,103454,598
Intimidation/Threats,150,199.5,274,249,251,246,321,246,102787,320.21
Knowingly Violate Domestic Abuse/Child Abuse Order,140,168,243.5,223,214,219,323,219,101278,313.55
Violate/Harassment Restraining Order,140,217,205,254.5,252,221,327,221,95032,290.62
Inmate-Related Offenses,161,237,273,273,302,270,236,270,88473,374.89
Robbery,231,250,335,417,434,338,194,338,85123,438.78
Worthless Checks,109,168,224,229.5,250.5,234,147,234,63879,434.55
Receiving Stolen Property,189,242,267.5,286.5,261.5,292,151,292,61379,406.48
Fraudulent Use of Credit Card,153,238.5,260,264,257,261,159,261,58833,370.02
Illegally Discharge Firearm,183,203,291,300,280.5,239,167,239,53202,318.57
Aggravated Battery,206,250.5,308.5,426,410,342.5,86,342.5,45851,533.15
Animal Abuse,162.5,230,256,229,200,230,141,230,45567,323.17
Physical Abuse of Elderly/Patient,213,287,165,212,249.5,259,150,259,43080,287.2
Lewd Behavior,138,167,182,203.5,179,235,134,235,41370,308.73
Extradition,7,6,6,5,9,8,1161,8,40591,34.96
Escape,129,182,279,243,231,259,95,259,36530,384.53
Arson,252,241,297.5,331,390,322.5,84,322.5,34309,408.44
Failure to Support,254.5,322.5,468,457,624,458,56,458,34033,607.73
Fraud Other,205.5,210,287,245,242,289,85,289,30531,359.19
Homicide by Use of Vehicle,261.5,315,494,502,503,436,53,436,26065,491.79
Child Sexual Exploitation,236,342.5,430,447,444.5,383,52,383,25025,481.25
Fraud Against Financial Institution,234,279.5,354,423,282,328,57,328,23495,412.19
Child Enticement,188,321,426.5,377,377,329,49,329,22594,461.1
Other Driving Offenses,102,139,195,148.5,181,130,95,130,22384,235.62
Expose Child to Harmful Material,185.5,262.5,299.5,359,367,287,67,287,21982,328.09
Post/Publish Depiction of Person w/out Consent,158,268,301,239,296.5,252,65,252,21014,323.29
Harboring/Aiding a Felon,205,185,285,422,367,350,53,350,20639,389.42
Contributing to Truancy/Delinquency,154,208.5,309,223,287,239,69,239,20188,292.58
Internet Crimes Against Children,225,318,372.5,423,385,448,31,448,16515,532.74
Interfere w/ Child Custody,204,209,208.5,327,441,270,36,270,14409,400.25
Prostitution,105,244.5,391,253,239,184,24,184,12625,526.04
Reckless Driving,157,261,228,262,267,238,37,238,11946,322.86
Kidnapping,172.5,313,293,508.5,508.5,378,23,378,11143,484.48
Weapon Use Offenses,220,231,395,284,213,433,21,433,10480,499.05
Tampering/Misuse of GPS,105,192,258,285,311,358.5,18,358.5,7247,402.61
Human Trafficking,271,280,413,597,437,286,13,286,6523,501.77
False Reporting,89,208,174,267.5,199.5,204.5,28,204.5,6449,230.32
Patronizing/Soliciting Prostitute,94,202.5,208,385.5,254,290,14,290,5758,411.29
Impersonating a Peace Officer,206.5,221,251,343,241.5,268,13,268,4119,316.85
Election Fraud,108,201.5,108,206,259.5,188.5,12,188.5,3864,322
Mayhem,267.5,287,367,469.5,274,364,8,364,3609,451.13
Possession of Burglarious Tools,185,219,283,282,157.5,384,7,384,3503,500.43
Terrorist Threats,294,236.5,312,225,160,349,8,349,2736,342
Pandering,90.5,139,115,158,89,131.5,10,131.5,1596,159.6
Fraud Insurance,258.5,225,125,320,312.5,238.5,4,238.5,1208,302
Perjury,82,340,331.5,434.5,457.5,230,4,230,919,229.75
