Charge,2019,2020,2021,2022,2023,Total Cases 2023,Average Days to Dispo 2023,Median Days to Dispo 2023
Aggravated battery with a firearm,92.5000,282.5000,326.5000,323.5000,273.0000,116,384.4828,273.0000
Aggravated unlawful use of a weapon,118.0000,190.0000,224.0000,255.0000,206.0000,3845,284.5633,206.0000
Armed habitual criminal,128.5000,283.0000,382.0000,420.0000,412.0000,1131,487.8187,412.0000
Armed robbery,162.0000,312.0000,496.0000,551.5000,411.5000,328,536.7409,411.5000
Armed robbery with a firearm,208.0000,297.5000,457.0000,678.0000,607.5000,6,559.8333,607.5000
Armed violence,122.5000,273.5000,355.5000,436.5000,380.0000,180,482.5611,380.0000
Arson/possession of explosives,147.5000,169.0000,349.0000,365.0000,307.0000,84,366.7381,307.0000
Assault/aggravated assault,25.0000,74.0000,86.0000,68.0000,54.0000,2560,134.1578,54.0000
Battery/aggravated battery,36.0000,124.0000,188.0000,166.0000,137.0000,6240,232.7878,137.0000
Battery/assault/neglect - other,35.5000,98.5000,188.0000,89.5000,73.0000,418,171.4378,73.0000
Bribery/official misconduct/money laundering/racketeering,140.5000,307.0000,608.0000,644.5000,284.0000,7,414.8571,284.0000
Bringing contraband in a penal institution,38.0000,161.0000,207.0000,234.0000,275.0000,60,384.0333,275.0000
Burglary,84.0000,187.0000,304.5000,307.0000,273.0000,814,370.9558,273.0000
Cannabis/controlled substance trafficking or drug conspiracy,94.0000,346.0000,281.0000,495.0000,615.0000,19,710.7368,615.0000
Child pornography,162.0000,277.0000,405.5000,422.5000,292.5000,68,404.2353,292.5000
Criminal damage to property/institutional vandalism,27.0000,81.0000,92.0000,90.5000,89.0000,2754,182.7545,89.0000
Criminal sexual abuse/aggravated criminal sexual abuse,98.0000,241.0000,399.5000,478.0000,487.5000,128,563.8047,487.5000
Criminal sexual assault/aggravated criminal sexual assault,148.5000,274.0000,428.0000,559.5000,681.0000,150,712.9000,681.0000
Criminal trespass to a residence/property,29.0000,90.0000,74.0000,72.5000,63.0000,2713,140.7125,63.0000
Delivery of cannabis on school grounds,,65.0000,339.0000,403.5000,182.5000,4,163.5000,182.5000
Delivery of cannabis/controlled substance to person under 18,27.0000,28.0000,67.0000,58.0000,59.0000,126,172.2857,59.0000
Disorderly conduct,35.0000,112.0000,123.5000,106.0000,119.0000,698,194.9355,119.0000
Domestic battery/aggravated domestic battery,14.0000,39.0000,33.0000,30.0000,27.0000,8899,112.9170,27.0000
